Эм барааны нэр,Ангилал
ВанИн Кломипрамин капс 25мг N500,Эксклюзив
"ВанИн Клоназепам шахм 0,5мг N200",Эксклюзив
ВанИн Куэтапин шахм 100мг N30,Эксклюзив
ВанИн Куэтапин шахм 25мг N30,Эксклюзив
ВанИн Литийн карбонат шахм 300мг N500,Эксклюзив
ВанИн Мемантин шахм 10мг N30,Эксклюзив
ВанИн Мирзентак шахм 15мг N30,Эксклюзив
ВанИн Налтрексон шахм 50мг N30,Эксклюзив
ВанИн Неомазин шахм 100мг N1000,Эксклюзив
ВанИн Неулептол капс 300мг N30,Эксклюзив
ВанИн Пенид шахм 10мг N30,Эксклюзив
ВанИн Перидол шахм 5мг N1000,Эксклюзив
ВанИн Прирептол капс 150мг N30,Эксклюзив
ВанИн Прирептол шахм 75мг N30,Эксклюзив
ВанИн Риперидон шахм 2мг N30,Эксклюзив
ВанИн Флуоксетин капс 20мг N30,Эксклюзив
ВанИн Целкок шахм 200мг N30,Эксклюзив
ВанИн Эпилиптор СР шахм 200мг N30,Эксклюзив
ВанИн Эсциталопрам шахм 10мг N30,Эксклюзив
Вегзелма тарилгын концентрат 400мг-16мл N1 /Celltrion Inc/,Эксклюзив
ВИНУФ Төвийн венийн тарилгын уусмал 1085мл №1 /JW Life Science/,Эксклюзив
ВИНУФ Төвийн венийн тарилгын уусмал 736мл №1 /JW Life Science/,Эксклюзив
Витамин С Желли 1000мг усан үзэм N14,Эксклюзив
Витамин С Желли 1000мг ханборгоцой N14,Эксклюзив
Витрум Виталити 50+ №30,Эксклюзив
ВН Витамин Д3 1000 ОУН шахм N260,Эксклюзив
ВН Витамин Е з/капс 400ОУН N120,Эксклюзив
ВН Витамин С шахм [Нохойн хошуутай] 1000мг N150,Эксклюзив
ВН Фолийн хүчил шахм 1мг N90,Эксклюзив
"Гексаспрей /Биклотимол/2,5%- 30гр N1",Эксклюзив
Гентрисон крем 10гр N1,Эксклюзив
Гиал форте т/уусм 2мл N3,Эксклюзив
Глюкозамин Хондроитин болон МСМ шахмал №120 /FACTORS/,Эксклюзив
Дажес капс капс 25мг+50мг+15мг+25мг+15мг+50мг+13мгмг N20,Эксклюзив
"Дотарем уусм 0,5моль/мл 15мл N1",Эксклюзив
"Дотарем уусм 0,5моль/мл 20мл N1",Эксклюзив
Дөрвөн цэнт Скай Селл Флу вакцин 0.5 мл №1 /SK Bioscience/,Эксклюзив
Драмина 3+ шахм 50мг N10,Эксклюзив
Жейл Кифентеч /үе мөч/ наалт 10см*7см 30мг N7,Эксклюзив
Жейл Пингвин халуун наалт 14см*10см N5,Эксклюзив
Жейл Пингвин хүйтэн наалт 14см*10см N5,Эксклюзив
Итокан б/шахм 50мг N30,Эксклюзив
Кальци плас Витамин Д-К2 Минералууд зөөлөн капсул №90 /FACTORS/,Эксклюзив
Кидфлэйм шахмал 600мг №15x4 /Bhargava Phytolab/,Эксклюзив
Кимчи Курут 1500мг N50,Эксклюзив
Кларуктам Цефотаксим+Сульбактам 1000мг+500мг №1,Эксклюзив
Клималанин шахм 400мг N30,Эксклюзив
Кмоксилин шахм 375мг N20,Эксклюзив
Кмоксилин шахм 500мг+125мг N20,Эксклюзив
Ксенетикс уусм 300мг/мл 100мл N1,Эксклюзив
Кудесан шахм 338мг+64мг+30мг N40,Эксклюзив
Кустодиол уусм 1000мл N1,Эксклюзив
Лакто-Фит Бейби N60,Эксклюзив
Лакто-Фит Бьюти N60,Эксклюзив
Лакто-Фит Кидс нунт 2000мг N60,Эксклюзив
Лакто-фит Коре нунтаг 2000мг N60,Эксклюзив
Лакто-Фит нунт 2000мг N50,Эксклюзив
Лакто-Фит Слим 2000мг №60,Эксклюзив
"Леванике 0,5% д/шин 500мг/ 100мл N1",Эксклюзив
"Ливерсол д/шин 65,7% 250мл",Эксклюзив
Лидокайн гель 2% 120гр N1,Эксклюзив
Липиодол ультра флуид 12.8гр 10мл N1,Эксклюзив
Л-Лизин эсцинат т/уусм 1мг/мл-5мл N10,Эксклюзив
Магни В6 шахм N30,Эксклюзив
Магни В6 шахм N50,Эксклюзив
Майлд Аирон капсул №90 /FACTORS/,Эксклюзив
Май-Репт шахм 500мг N100,Эксклюзив
Максиктам-АФ Цефепим+Сульбактам 1000мг+1000мг №1,Эксклюзив
Менифиб шахмал 618мг №20x3 /Bhargava Phytolab/,Эксклюзив
Милдронат капс 500мг N60,Эксклюзив
Милдронат т/уусм 500мг/5мл N10,Эксклюзив
Милк Тистл капсул 250мг №60 /FACTORS/,Эксклюзив
Момулин кид крем 15гр №1 /Firson/,Эксклюзив
Нейрокс т/уусм 50мг/мл-2мл №10 /Сотекс/,Эксклюзив
Нейрокс т/уусм 50мг/мл-5мл №5 /Сотекс/,Эксклюзив
Нейроксон тарилгын уусмал 1000мг-4мл №10 /Артериум/,Эксклюзив
Нимодипин б/шахм [самжин] 30мг N100,Эксклюзив
Нимодипин д/шин [самжин] 10мг 50мл N1,Эксклюзив
Н-Флю капс 30мг N10,Эксклюзив
Н-Флю капс 45мг N10,Эксклюзив
Н-Флю капс 75мг N10,Эксклюзив
Окситоцин-Гриндекс т/уусм 5МЕ/мл 1мл N10,Эксклюзив
Омалокс хөвм 10мл N20,Эксклюзив
Омега 3+ капс 1100мг N180,Эксклюзив
"Оралкон-Ф шахм 0,15мг/0,03мг/ 75мг N84",Эксклюзив
"Отофа чих/д 2,6%-10мл N1",Эксклюзив
Пактол диартол сироп 100мл №1 /Masenz/,Эксклюзив
Пактол коүф ханиадны сироп 100мл №1 /Masenz/,Эксклюзив
Пактол коүф хүүхэд ханиадны сироп 100мл №1 /Masenz/,Эксклюзив
Пантоцид тарилгын нунтаг 40мг №1,Эксклюзив
Педиамин дуслын шингэн 6%-100мл /Dai Han Pharm/,Эксклюзив
Полидекса сп/х 15мл N1,Эксклюзив
ПроОрс сашет 5гр №10 /Humaniqe/,Эксклюзив
Просторал шахмал 600мг №15x2 /Bhargava Phytolab/,Эксклюзив
Ревоке 1.5мг N1,Эксклюзив
Рирокси шахмал 15 мг №30 /Chong Kun Dang/,Эксклюзив
Рирокси шахмал 20 мг №30 /Chong Kun Dang/,Эксклюзив
Санлайф витамин ActiveForWork уус/шх 90гр N20,Эксклюзив
Санлайф витамин В комплекс заж/ш N72,Эксклюзив
Санлайф витамин Кальци+Д3 N150,Эксклюзив
Санлайф витамин Магний уус/шх 200мг N20,Эксклюзив
Санлайф Мультивитамин кидс заж/ш N60,Эксклюзив
Санлайф Мультивитамин кидс уус/шх 80гр N20,Эксклюзив
Санлайф Мультивитамин том хүн заж/ш N30,Эксклюзив
Силапенем тар/н 500мг+500мг N1,Эксклюзив
Синтироксин шахм 100мкг N100,Эксклюзив
Синтироксин шахм 25мкг N100,Эксклюзив
Синтироксин шахм 50мкг N100,Эксклюзив
Синусет шахмал 200мг №20x3 /Bhargava Phytolab/,Эксклюзив
Спектиномицин тар/н 2гр,Эксклюзив
Спирттэй арчдас эмн/х N100,Эксклюзив
Судокрем крем 125гр N1 /Teva/,Эксклюзив
Судокрем крем 60гр N1 /Teva/,Эксклюзив
Сумамед бүрхүүлтэй шахмал 500мг №3 /Teva/,Эксклюзив
Тадалафил 20 мг нунт N10,Эксклюзив
Тамивир капсул 30мг №10,Эксклюзив
Тамивир капсул 30мг №10 ,Эксклюзив
Тамивир капсул 45мг №10,Эксклюзив
Тамивир капсул 75мг №10,Эксклюзив
Тержинан үт/шахм N10,Эксклюзив
Тержинан үт/шахм N6,Эксклюзив
Тиоцетам т/уусм 5мл N10,Эксклюзив
Триам т/уусм 40мг 1мл N10,Эксклюзив
Трифамокс IBL Дуо б/шахм 875мг/ 125мг N14,Эксклюзив
Урса капс 250мг N30,Эксклюзив
Ферролек т/уусм 50мг/мл 2мл N5,Эксклюзив
Фибро шахм 200мг N90,Эксклюзив
Филжен т/уусм 30ОУН N1,Эксклюзив
Ханомицин [ Самжин ] тар/н 1гр N10,Эксклюзив
Хиймэл нулимс Optinol 0.4%-10мл нүд/дус /Jadran/,Эксклюзив
Хиймэл нулимс Optinol гүн чийгшүүлэгчтэй 0.21%-10мл нүд/дус /Jadran/,Эксклюзив
Хуванцар хошуу [фирсон] эмн/х N1,Эксклюзив
Цайр шахмал 50мг №180 /FACTORS/,Эксклюзив
Ценова-L сироп 500мг- 100мл N1,Эксклюзив
Церебролизин 5мл N5,Эксклюзив
Церебролизин т/уусм 10мл N5,Эксклюзив
Церебролизин тарилгын уусмал 2мл N10 /Ever Neuro/,Эксклюзив
Церетон капс 400мг N28,Эксклюзив
Церетон т/уусм 250мг/мл 4мл N5,Эксклюзив
Цефтриаксон тар/н /Юн Жин/ 1гр N1,Эксклюзив
Ципол-Н капс 25мг N50,Эксклюзив
Ципроксин шахм 500мг N10,Эксклюзив
Шингэн хүчил төрөгч Aso 60мл №1 2806,Эксклюзив
Юфлима тарилгын уусмал 40мг - 0.4мл №2 /Celltrion INC/,Эксклюзив
"Янси-30 шахм 3мг+0,03мг N21",Эксклюзив
Alpokol Lolly logenges №50 /Альпен фарм/,Импорт
BD Зүү хамгаалалттай 23Ж (0.6мм х 30мм) 305886 N100 /Becton/,Импорт
BD тариур 10мл түгжээтэй 300912 N100 /Becton/,Импорт
BD тариур 20мл түгжээтэй 300629 N100 /Becton/,Импорт
BD цусны сорьц авах зүү 22Ж (0.7 х 38мм) N100 /Becton/,Импорт
"BD цусны сорьц авах зүү, адаптер 23Ж (0.7 х 25мм) N100 /Becton/",Импорт
Elevit stork Зөөлөн желатин капсул N30 /Байер Консьюмер/,Импорт
Gummies Vita Kids MV №60 /Зөөлөн зажилдаг/,Импорт
Gummies Vita Kids Vit C №60 /Зөөлөн зажилдаг/,Импорт
Immuno Vit D 500IU №30 /шахмал/,Импорт
Vita-C 250 mg tabl Чихэр /Catch! Teenieping/ №10,Импорт
Vital Health капсул №60,Импорт
Vital Био Куркума капсул №90,Импорт
Vital Био Куркума капсул №90 ,Импорт
Vital Бюрн капсул №60,Импорт
Vital Вүман капсул №60,Импорт
Vital Вүман капсул №60 ,Импорт
Vital Дабл Магни капсул №90,Импорт
Vital Детокс капсул №60,Импорт
Vital Детокс капсул №60 ,Импорт
Vital Релакс капсул №60,Импорт
Vital Релакс капсул №60 ,Импорт
Vital Секс капсул №60,Импорт
Vital Секс капсул №60 ,Импорт
Vital Слим капсул №30,Импорт
Vital Слим капсул №30 ,Импорт
Авалтан шахмал 10мг/160мг №30 /Dongkoo Bio/,Импорт
Авалтан шахмал 5мг/160мг №30 /Dongkoo Bio/,Импорт
Аварин 300мг+60мг №30,Импорт
Адаптол капс 300мг N20,Импорт
Адаптол шахм 500мг N20,Импорт
Азарга нүдний дусал 10мг+6.8мг-5мл N1 /Alcon-Couvreur/,Импорт
Азибиот б/шахм 500мг N3,Импорт
Азитро денк капс 250мг N6,Импорт
Азитро денк капс 500мг N3,Импорт
АзитроВис капс /Азитромицин/ 500мг N3,Импорт
АзитроВис хөв/н 100мг 5мл N1,Импорт
АзитроВис хөв/н 200мг 5мл N1,Импорт
Азитромицин /лек/ б/шахм 500мг N3,Импорт
Азитромицин /лек/ хөв/н 200мг/5мл 20мл,Импорт
Аквадетрим Д3 дусал 10мл,Импорт
Аквалор беби дусал 15мл N1,Импорт
Аквалор беби сп 150мл N1,Импорт
Акридерм ГК 10мг/г+1мг/г+0.64мг/г-15г крем №1,Импорт
"Акридерм крем 0,05% 15гр N1",Импорт
Акридерм СK тос/т 15гр N1,Импорт
Алка Зельтцер уус/шх N10,Импорт
Аллохол /даль/ драж N10,Импорт
Алое /даль/ т/уусм 1мл N10,Импорт
Альпикол 120мл сироп №1 /Gustav Klein/,Импорт
Альфагин капс N20,Импорт
Амиокордин т/уусм 150мг 3мл N5,Импорт
Амиокордин шахм 200мг N30,Импорт
Амлесса шахм 4мг + 10мг N30,Импорт
Амлесса шахм 4мг + 5мг N30,Импорт
Амлесса шахм 8мг + 10мг N30,Импорт
Амлесса шахм 8мг + 5мг N30,Импорт
Амлибон NAP 10мг №30,Импорт
Амлибон NAP 5мг №30,Импорт
Амло Денк шахм 10мг N50,Импорт
Амло Денк шахм 5мг N50,Импорт
Амлодипин NAP 10мг N100,Импорт
Амлодипин NAP 5мг N30,Импорт
Амокси-Денк 1000 шахм 1000мг N10,Импорт
Амокси-Денк 500 шахм 500мг N20,Импорт
Амоксиклав 2х б/шахм 1000мг N14,Импорт
Амоксиклав б/шахм 2х 1000мг N10,Импорт
"Амоксиклав Денк б/шахм 500/62,5  мг N16",Импорт
"Амоксиклав Денк б/шахм 500/62,5 мг N16",Импорт
Амоксиклав Денк нунт 1000мг+125 мг N8,Импорт
Амоксиклав Денк нунт 1000мг+125мг N12,Импорт
Амоксиклав тар/н 1.2гр N5,Импорт
Амоксиклав хөв/н 312.5мг/5мл 100мл,Импорт
Амоксиклав шахм 625мг N15,Импорт
Амоксициллин NAP 250мг N100,Импорт
Амприлан шахм 10мг N30,Импорт
Амприлан шахм 5мг N30,Импорт
Анальгин /даль/ т/уусм 50% 2мл N10,Импорт
Анастрозол NAP 1мг N30,Импорт
Анастрозол-Денк б/шахм 1мг N30,Импорт
Анаферон /хүүхэд/ дусал 25мл N1,Импорт
Анаферон /хүүхэд/ шахм N20,Импорт
Анаферон шахм N20,Импорт
Анзибел мед лимон шахм N30,Импорт
Анзибел ментол шахм N30,Импорт
Антифлу кидс нунт N5,Импорт
Антифлу нунт N5,Импорт
Антифлу шахм N12,Импорт
Анузол ш/г/лаа N10,Импорт
Апаурин /Диазепам / шахм 5мг N30,Импорт
Артро актив Денк нунт N14,Импорт
Аспирин С уус/шх 400мг N10,Импорт
Атектура Бризхалер ин/ц 150мкг+320мкг N1,Импорт
Атенолол Денк шахм 50мг N100,Импорт
Аторвастатин NAP 10мг N30,Импорт
Аторвастатин NAP 20мг N30,Импорт
Аторис б/шахм 10мг N30 /КРКА/,Импорт
Аторис б/шахм 20мг N30,Импорт
Аторис б/шахм 40мг N30,Импорт
Афала шахм 0.003г N100 /Materia Medica/,Импорт
Ацецис нунт 200мг N20,Импорт
Ацецис нунт 600мг N10,Импорт
Ацикловир /акр/ тос/т 5% 5гр N1,Импорт
Ацикловир /белм/ шахм 200мг N20,Импорт
Ацикловир Акри шахм 200мг N20,Импорт
Ацикловир Денк тос/т 5% 7гр N1,Импорт
Ацикловир Денк шахм 200мг N25,Импорт
Ацикловир-Акри 400мг шахмал №20,Импорт
АЦЦ актив Нун/уус 600мг N10,Импорт
АЦЦ лонг уус/шх 600мг N10,Импорт
АЦЦ нунт 100мг N20,Импорт
АЦЦ нунт 200мг N20,Импорт
АЦЦ нунт 600мг N6,Импорт
АЦЦ уус/шх 200мг N20,Импорт
Аэртал б/шахм 100мг N60,Импорт
"Аэртал крем 1,5% 60гр N1",Импорт
Аэртал хөвм 100мг/ 3гр N20,Импорт
Бактистатин шахмал 500мг N20 /KRAFT/,Импорт
Бароле капс 20мг N30,Импорт
"Белара б/шахм 0,03 мг+2 мг N21",Импорт
Бепантен крем 100гр N1,Импорт
Бепантен крем 5% 30гр,Импорт
Бепантен мазь 5% 30гр,Импорт
Бепантен мазь 5%-100гр №1,Импорт
Бепантен плюс крем 50мг+5мг/г 30гр,Импорт
Бепантен-дерма бие угаагч гель 200мл №1 /Байер/,Импорт
Бепантен-дерма гарын тос 50ml №1 /Байер/,Импорт
Бепантен-дерма нөхөн сэргээх биеийн лосион 200мл /Байер/,Импорт
Бепантен-дерма тослог тэнцвэржүүлэх биеийн лосион 200мл /Байер/,Импорт
Бетаклав б/шахм 500мг+ 125мг N14,Импорт
Бетаклав б/шахм 875мг+ 125мг N14,Импорт
Бетаклав хөвмөлийн нунтаг 400мг/5мл + 57мг/5мл-70мл N1 /KRKA/,Импорт
Бефрон хөвмөл 100мл/5мл-100мл N1 /Nobel/,Импорт
Бидоп шахм 10мг N28,Импорт
Бидоп шахм 5мг N28,Импорт
Билобил Интенсе 120мг N20,Импорт
Билобил Интенсе капс 120мг N60,Импорт
Билобил капс 40мг N20,Импорт
Билобил Форте капс 80мг N20,Импорт
Бинт /7*14см/ эмн/х N1,Импорт
Бисептол хөвмөл 80мл №1,Импорт
Бициллин-3 тар/н 600000ОУН,Импорт
Бициллин-5 тар/н 1200ОУН,Импорт
"Боботик дусал 66,66мг/мл 30мл",Импорт
Бонджигар капс N20,Импорт
Бонджигар сироп 90мл,Импорт
"Бонспри 20мг т/уусм 20мг -0,4мл N1",Импорт
Бромгексин /акр/ шахм 8мг N20,Импорт
Бромгексин /берл/ сироп 4мг/5мл 60мл N1,Импорт
Бромгексин /берл/ шахм 8мг N25,Импорт
Бронхо Мунал капс 3.5мг N10,Импорт
Бронхо Мунал капс 7мг N10,Импорт
Валидол шахм 60мг+188мг N10,Импорт
Валсартан NAP 160мг N28,Импорт
Вальсакор б/шахм 160мг N28,Импорт
Вальсакор б/шахм 80мг N28,Импорт
Вальсакор Н б/шахм 160мг+12.5мг N28,Импорт
Вальсакор Н б/шахм 80мг+12.5мг N28,Импорт
Вамлосет шахм 10мг/ 160мг N30,Импорт
Вамлосет шахм 5мг/ 160мг N30,Импорт
Вамлосет шахм 5мг/ 80мг N30,Импорт
Верона капс N20,Импорт
Верона капс N60 /Хербион/,Импорт
Верошпирон шахм 25мг N20,Импорт
Виагра б/шахм 100мг N1,Импорт
Виагра б/шахм 100мг N4,Импорт
Виагра б/шахм 50мг N4,Импорт
Вивабон сироп 120мл,Импорт
Вилда Денк 50мг шахм №28,Импорт
Вилдаглиптин NAP 50мг N56,Импорт
Витакап капс N50,Импорт
Витамин В Денк шахм N100,Импорт
Витамин РР /даль/ т/уусм 10мг/мл 1мл N10,Импорт
Вольтарен Эмульгель 1% гель 100гр N1,Импорт
Вольтарен Эмульгель гель 1% 20гр,Импорт
Вольтарен Эмульгель гель 1% 50гр,Импорт
Вольтарен Эмульгель гель 2% 100гр,Импорт
Вольтарен Эмульгель гель 2% 50гр N1,Импорт
ВП вакутайнерийн баригч -22701 N1,Импорт
"ВП тариур 10мл 21G 1/2"" 11061 №1",Импорт
ВП тариур 1мл 27Ж 1/2'' - 10131 N1,Импорт
ВП тариур 3мл 21Ж 1 1/2'' -10361 N1,Импорт
ВП тариур 5мл 21Ж 1/2'' N1,Импорт
ВП уян зүү (pur) 16Ж 1/4 -31641 N1,Импорт
ВП уян зүү (pur) 18Ж 1 1/4'' -31541 N1,Импорт
ВП уян зүү (pur) 20Ж 1/4 -31441 N1,Импорт
ВП уян зүү (pur) 22Ж 1'' -31331 N1,Импорт
ВП уян зүү /pur/ 14Ж*1 1/4''-31741 N1,Импорт
ВП уян зүү /pur/ 24Ж*1 3/4''-31221 N1,Импорт
Галазолин х/дус 0.1% 10мл,Импорт
Галантамин капс 8мг N28,Импорт
Гальвус шахм 50мг N28,Импорт
ГальвусМЕТ б/шахм 50мг+ 850мг N60,Импорт
ГальвусМЕТ б/шахм 50мг+1000мг N60,Импорт
Гарньер бүх төрлийн арьсанд зориулсан витаминС 400мл /7674/,Импорт
Гельминтокс шахм 125мг N6,Импорт
Гельминтокс шахм 250мг N3,Импорт
Гентамицин-К т/уусм 80мг/ 2мл N10,Импорт
Гепа-Мерз Ацино 10мл №10,Импорт
Гепа-Мерз Ацино 5г №30,Импорт
Гепарин /бельм/ т/уусм 5000 ЕД/мл 5мл N1,Импорт
Гепарин /синт/ т/уусм 5000 ед 5мл N1,Импорт
Гепарин т/уусм 5000 ЕД/мл-5мл N5 /Belmed/,Импорт
Гепарин тос/т 25гр,Импорт
Гербион исландын хөвд сироп / хуурай ханиалга / 150мл N1,Импорт
Гербион первоцвета сироп /цэртэй ханиалга/ 150мл,Импорт
Гербион плюща сироп /цэртэй ханиалга/ 7мг/мл 150мл,Импорт
Гербион плюща хүлхмэл шах 35мг №16 /КРКА/,Импорт
Гербион подорожника сироп /таван салаа/ 150мл,Импорт
Гинсомин капс N30,Импорт
Глизид М шахм 500мг+80мг N10,Импорт
Глизид шахм 80мг N270,Импорт
Глимепирид Денк-2 шахм 2мг N30,Импорт
Глимепирид Денк-3 шахм 3мг N30,Импорт
Глюкоза /даль/ т/уусм 40% 10мл N10,Импорт
Глюкозамин/Хондротин 750/600мг N60,Импорт
Гонорой антиген түргэвчилсэн тест N20 /Hangzhou/,Импорт
Гофен капс 400мг N50,Импорт
Грани Денк т/уусм 1мг/мл 1мл N5,Импорт
Грани Денк т/уусм 1мг/мл 3мл N5,Импорт
Грийн энема /тосон клизм/ 20мл N1,Импорт
Грипоблок жуниор нунт/уус N12,Импорт
Грипоблок том хүн нунт/уус N12,Импорт
Гроприносин -Рихтер сироп 250мг/5мл 150мл N1,Импорт
Гроприносин Форте мөхлөг 1000мг №30,Импорт
Гроприносин Форте шахмал 1000мг №30,Импорт
Гроприносин шахм 500мг N20,Импорт
Гроприносин шахм 500мг N50,Импорт
Гүүд найт Денк капсул №60,Импорт
"Дайжест Актив капс 17,91гр N30",Импорт
Далацин капс 150мг N16,Импорт
Далацин капс 300мг N16,Импорт
Данноза Уро-Акут повдер N14 Master Pharm,Импорт
Данноза Уро-Пролонг повдер N14 Master pharm,Импорт
Дапапрозин шахмал 10мг №28 /Dongkoo Bio/,Импорт
Дексалгин 25мг нунтаг N10 /Берлин-Хеми/,Импорт
Дексалгин 25мг шахмал N20 /Берлин-Хеми/,Импорт
Дексалгин 50мг/2мл №5 тар/уусмал /Берлин Хеми/,Импорт
Дексалгин бүрхүүлтэй шахмал 25мг N20 /Nobel/,Импорт
Дексалгин гель 12.5мг/1г-60 г №1 /Nobel/,Импорт
Дексалгин т/уусм 50мг/ 2мл N6,Импорт
"Дексаметазон /белм/ нүд/дус 0,1% 5мл",Импорт
Дексаметазон т/уусм 4мг 1мл N1,Импорт
Денк- Брэйн актив шахм N30,Импорт
Денк Д3 Юниор шахм 500 ОУН N100,Импорт
Денк-Витактив капс В12 100ҮУН N30,Импорт
Денк-Витамин Д3 актив шахм N100,Импорт
Денк-Тимэйр шахм N20,Импорт
Денк-Эйр б/шахм 10мг N28,Импорт
Денк-Эйр Юниор заж/ш 4мг N28,Импорт
Денк-Эйр Юниор заж/ш 5мг N28,Импорт
Депакин Хроно шахм 300мг N100,Импорт
Дермобактер уусм 125мл N1,Импорт
Деслора Денк б/шахм 5мг N10,Импорт
Диазепам /Апаурин/ т/уусм 5мг/мл 2мл N10,Импорт
Диакарб шахм 250мг N30,Импорт
Дибазол /даль/ т/уусм 1% 5мл N10,Импорт
Диклак-АйДи /Диклофенак/ шахм 150мг N100,Импорт
Дикло Денк 100 ректал ш/г/лаа 100мг N10,Импорт
Дикло Денк 100 Ретард шахм 100мг N100,Импорт
Дикло Денк 75 т/уусм 75мг 3мл N10,Импорт
Дикло Денк шахм 50мг N100,Импорт
Дилакса капс 100мг N10,Импорт
Дилакса капс 200мг N10,Импорт
Димедрол /даль/ т/уусм 1% 1мл N10,Импорт
Диован б/шахм 160мг N14,Импорт
Диован б/шахм 80мг N14,Импорт
Диротон шахм 10мг N28,Импорт
Диротон шахм 20мг N28,Импорт
Диротон шахм 5мг N28,Импорт
Дистрептаза эм/лаа 15000 ОУН + 1250 ОУН N6,Импорт
Дифлазон 50мг N7,Импорт
Дифлазон капс 150мг N1,Импорт
Дифлюкан д/шин 2мг/мл 50мл,Импорт
Дифлюкан капс 150мг N1,Импорт
Дифлюкан капс 50мг N7,Импорт
Дицинон т/уусм 250мг /2мл N50,Импорт
Дицинон шахм 250мг N100,Импорт
Докси Денк шахм 200мг N8,Импорт
Докси-Денк шахм 100мг N20,Импорт
Доксициклин капс 100мг N10,Импорт
Доксициклин штада шахм 100мг N10,Импорт
Дриклор 20мл,Импорт
Дуовит /Эм/ б/шахм N30,Импорт
Дуовит /Эр/ б/шахм N30,Импорт
Дуовит б/шахм N40,Импорт
Дюфастон шахм 10мг N20,Импорт
Енат 400 капс N30,Импорт
Енат крем 50гр N1,Импорт
Жилоба 40мг N30,Импорт
"Жойнт актив шахм 80+15+2,25мг N30",Импорт
Земан-СХ капс N30,Импорт
Зилт шахм 75мг N28,Импорт
Зовиракс крем 5% 2гр,Импорт
Зодак б/шахм 10мг N10,Импорт
Золедро Денк т/шин 4мг 5мл N1,Импорт
Зүрхний Myoglobin 50ng/ml /CK-MB 5ng/ml /Troponin I 0.5ng/ml Combo түргэвчилсэн тест N1,Импорт
Ибупрофен Денк б/шахм 600мг N20,Импорт
Ибупрофен Денк шахм 400мг N100,Импорт
Ибуфен бөөрөлзгөнө ууж хэрэглэх хөвмөл 100мг/5мл-100мл №1 /Medana/,Импорт
Ибуфен хөвм 100мг/5мл 100мл,Импорт
Ибуфен Юниор капсул 200мг №10 /Polpharma S.A/,Импорт
Ибуфен Юниор капсул 200мг №10 /Polpharma S.A/ ,Импорт
